#AOR	epoch	channel	RAtopL	DECtopL	RAbotL	DECbotL	RAbotR	DEbotR	RAtopR	DECtopR
24	2	2	346.947557061	1.064482546	347.883209867	-0.915206994899	347.311808826	-1.18167812529	346.377699777	0.794326957016
25	1	1	347.51502815	1.18278158099	348.450803602	-0.798460516759	347.878937541	-1.06389177006	346.944138942	0.91246974099
25	1	2	347.566111395	1.08121737082	348.501022372	-0.89863615032	347.929695518	-1.16486299766	346.995801202	0.811238525343
25	2	1	347.566700259	1.16607825454	348.502743186	-0.815220109704	347.930882949	-1.08066709789	346.995968867	0.8958263416
25	2	2	347.617790561	1.06427431016	348.553038403	-0.915420600279	347.981512162	-1.18162130899	347.0477401	0.794536307232
26	1	1	348.182666737	1.18243655141	349.122117443	-0.797251930627	348.550567626	-1.06374905576	347.612398541	0.911197219894
26	1	2	348.233922902	1.08091190992	349.172921615	-0.898298478319	348.601333202	-1.1647539072	347.664166117	0.810163791278
26	2	1	348.235419681	1.16593725331	349.17374202	-0.814295250579	348.602085548	-1.08057229654	347.665043491	0.894926804806
26	2	2	348.28675954	1.06423686232	349.224587771	-0.915334240782	348.652872401	-1.18151811321	347.716806979	0.793910503869
27	1	1	348.85498202	1.18277116529	349.790765212	-0.798652380684	349.218761699	-1.06417773718	348.284183957	0.912652705327
27	1	2	348.906134677	1.08112373295	349.841335233	-0.899696282698	349.269439929	-1.16509285931	348.335838306	0.811512102929
27	2	1	348.90695551	1.16591210124	349.842697578	-0.815525977221	349.270616152	-1.08089371422	348.336082952	0.895962482876
27	2	2	348.958109054	1.06419944063	349.893221611	-0.916660590849	349.321413812	-1.18185473399	348.387682533	0.794873636189
28	1	1	349.523132737	1.18265668573	350.462062364	-0.797109627503	349.890155623	-1.06363214459	348.952585415	0.911613498272
28	1	2	349.574358064	1.08102230489	350.512937088	-0.898198060768	349.940989795	-1.16467357386	349.004475105	0.810547170275
28	2	1	349.576411193	1.16611292026	350.51289707	-0.8144272059	349.94102377	-1.08063296604	349.005837875	0.895916268535
28	2	2	349.627561447	1.06455926786	350.563542492	-0.915531450994	349.99172469	-1.18149877489	349.057511118	0.794820591124
29	1	1	350.608785364	-1.19175323253	349.76908222	0.832081590614	350.352849711	1.07020450024	351.191700331	-0.949293171727
